id,mild_injuries,serious_injuries,victims,vehicles_involved,longitude,latitude,date
2017S008429,2,0,2,2,2.12562442,41.34004482,2017-10-13 08:00:00
2017S007316,2,0,2,2,2.12045245,41.33942606,2017-09-01 13:00:00
2017S010210,5,0,5,2,2.1673561,41.360885499999995,2017-12-08 21:00:00
2017S006364,1,0,1,2,2.12452894,41.33766786,2017-07-21 02:00:00
2017S004615,1,0,1,3,2.1852720000000003,41.416365,2017-05-25 14:00:00
2017S007775,1,0,1,2,2.183245,41.416336,2017-09-20 12:00:00
2017S004484,1,0,1,2,2.183245,41.416336,2017-05-20 21:00:00
2017S010680,2,0,2,1,2.183561,41.416371999999996,2017-12-26 20:00:00
2017S005152,1,0,1,1,2.184059,41.416763,2017-06-12 15:00:00
2017S003932,1,0,1,1,2.181225,41.413958,2017-05-03 20:00:00
2017S010348,1,0,1,2,2.18229,41.415772,2017-12-14 20:00:00
2017S000245,1,0,1,2,2.180453,41.41579,2017-01-11 07:00:00
2017S005695,1,0,1,2,2.18114,41.416295,2017-06-30 12:00:00
2017S007384,0,1,1,2,2.176324,41.412546,2017-09-04 16:00:00
2017S008080,1,0,1,2,2.176324,41.412546,2017-09-30 19:00:00
2017S003439,1,0,1,2,2.178314,41.410784,2017-04-17 14:00:00
2017S002410,4,0,4,2,2.1777189999999997,41.410323,2017-03-25 14:00:00
2017S009296,1,0,1,1,2.17674,41.411445,2017-11-09 22:00:00
2017S010102,2,0,2,2,2.1801,41.410287,2017-12-04 00:00:00
2017S002158,1,0,1,2,2.1848549999999998,41.408993,2017-03-17 16:00:00
2017S007606,1,0,1,2,2.154877,41.38621,2017-09-14 14:00:00
2017S007805,0,1,1,2,2.183407,41.407785,2017-09-20 20:00:00
2017S008987,1,0,1,2,2.1840330000000003,41.408102,2017-10-30 20:00:00
2017S002244,1,0,1,2,2.185732,41.407803,2017-03-20 19:00:00
2017S001012,1,0,1,1,2.181775,41.408393,2017-02-07 11:00:00
2017S009722,1,0,1,2,2.181955,41.408528999999994,2017-11-22 20:00:00
2017S001895,1,0,1,2,2.181123,41.407749,2017-03-08 12:00:00
2017S008277,2,0,2,4,2.181123,41.407749,2017-10-07 06:00:00
2017S004380,0,0,0,2,2.183407,41.407785,2017-05-17 13:00:00
2017S001233,1,0,1,1,2.1857509999999998,41.409684000000006,2017-02-14 16:00:00
2017S007303,0,1,1,1,2.185811,41.409729999999996,2017-08-31 21:00:00
2017S007003,1,0,1,2,2.185732,41.407803,2017-08-15 18:00:00
2017S000893,1,0,1,2,2.18647,41.408498,2017-02-02 09:00:00
2017S001163,1,0,1,2,2.186855,41.408522999999995,2017-02-11 15:00:00
2017S007277,2,0,2,3,2.183965,41.407337,2017-08-31 07:00:00
2017S002245,1,0,1,1,2.186855,41.408522999999995,2017-03-20 19:00:00
2017S009302,1,0,1,1,2.187185,41.408131,2017-11-10 11:00:00
2017S002101,1,0,1,1,2.18452,41.406912,2017-03-15 23:00:00
2017S005169,1,0,1,2,2.185863,41.402617,2017-06-13 09:00:00
2017S006669,1,0,1,2,2.188084,41.404624,2017-08-01 19:00:00
2017S005643,1,0,1,2,2.188682,41.403765,2017-06-28 19:00:00
2017S000296,1,0,1,2,2.1868540000000003,41.405403,2017-01-12 12:00:00
2017S000609,1,0,1,2,2.185564,41.407540999999995,2017-01-23 16:00:00
2017S005444,1,0,1,1,2.196643,41.411561,2017-06-21 19:00:00
2017S007332,0,0,0,1,2.197063,41.411044,2017-09-01 18:00:00
2017S000726,2,0,2,2,2.193542,41.413696,2017-01-27 17:00:00
2017S001891,1,0,1,2,2.194216,41.414467,2017-03-08 10:00:00
2017S000532,1,0,1,2,2.186061,41.405891,2017-01-20 11:00:00
2017S006453,1,0,1,2,2.185657,41.406065000000005,2017-07-24 15:00:00
2017S004345,1,0,1,2,2.186425,41.409909999999996,2017-05-16 13:00:00
2017S000869,1,0,1,2,2.186557,41.409003999999996,2017-02-01 18:00:00
2017S001562,1,0,1,2,2.18656,41.410613,2017-02-25 08:00:00
2017S009772,2,0,2,3,2.186877,41.410354,2017-11-24 08:00:00
2017S007600,1,0,1,5,2.191279,41.411972999999996,2017-09-13 23:00:00
2017S000137,1,0,1,2,2.1884,41.410069,2017-01-06 22:00:00
2017S008267,1,0,1,2,2.192552,41.407639,2017-10-06 20:00:00
2017S007951,1,0,1,1,2.193547,41.411986999999996,2017-09-26 12:00:00
2017S006854,1,0,1,2,2.191279,41.411972999999996,2017-08-08 23:00:00
2017S006079,1,0,1,1,2.187637,41.410827000000005,2017-07-12 17:00:00
2017S004641,1,0,1,3,2.193547,41.411986999999996,2017-05-26 08:00:00
2017S003623,1,0,1,2,2.186892,41.413523,2017-04-23 11:00:00
2017S008103,2,0,2,2,2.187887,41.414538,2017-10-01 21:00:00
2017S003940,1,0,1,3,2.19303,41.410796000000005,2017-05-04 10:00:00
2017S006732,1,0,1,2,2.211398,41.421881,2017-08-02 11:00:00
2017S003914,4,0,4,2,2.221726,41.410514,2017-05-03 11:00:00
2017S001257,1,0,1,2,2.2049090000000002,41.422204,2017-02-15 01:00:00
2017S010414,1,0,1,2,2.22051,41.412138,2017-12-16 18:00:00
2017S003078,0,0,0,1,2.216609,41.413737,2017-04-03 19:00:00
2017S010707,2,0,2,2,2.2003630000000003,41.418811,2017-12-27 16:00:00
2017S009012,1,0,1,2,2.202633,41.418803000000004,2017-10-31 19:00:00
2017S005997,2,0,2,1,2.201852,41.419652,2017-07-10 15:00:00
2017S005176,1,0,1,3,2.201282,41.426638,2017-06-13 14:00:00
2017S000123,2,0,2,2,2.20173,41.427479999999996,2017-01-05 17:00:00
2017S005072,1,0,1,2,2.2005529999999998,41.426415999999996,2017-06-09 17:00:00
2017S007144,1,0,1,1,2.2024,41.420066,2017-08-23 20:00:00
2017S000944,1,0,1,1,2.2043220000000003,41.417325,2017-02-03 20:00:00
2017S000612,1,0,1,3,2.198959,41.423403,2017-01-23 18:00:00
2017S002424,1,0,1,1,2.198539,41.42411,2017-03-26 06:00:00
2017S008874,1,0,1,2,2.2039619999999998,41.407568,2017-10-26 21:00:00
2017S003235,0,0,0,2,2.21694,41.412696999999994,2017-04-07 18:00:00
2017S006914,1,0,1,2,2.216424,41.413489,2017-08-11 15:00:00
2017S001120,2,0,2,2,2.20713,41.414859,2017-02-10 10:00:00
2017S004843,1,0,1,1,2.216113,41.411226,2017-06-02 06:00:00
2017S002075,2,0,2,1,2.20736,41.410118,2017-03-15 08:00:00
2017S008856,1,0,1,1,2.2039619999999998,41.407568,2017-10-26 08:00:00
2017S004209,2,0,2,2,2.209648,41.416875,2017-05-12 00:00:00
2017S008566,3,0,3,2,2.199459,41.397299,2017-10-18 09:00:00
2017S002006,1,0,1,1,2.2087060000000003,41.397420000000004,2017-03-12 04:00:00
2017S004941,1,0,1,2,2.19633,41.396815000000004,2017-06-06 09:00:00
2017S002347,1,0,1,2,2.198332,41.398139,2017-03-23 19:00:00
2017S010097,1,0,1,2,2.200803,41.394523,2017-12-03 13:00:00
2017S000122,0,0,0,1,2.208398,41.419569,2017-01-05 19:00:00
2017S003738,1,0,1,2,2.2018560000000003,41.407389,2017-04-27 10:00:00
2017S007503,2,0,2,2,2.198342,41.410089,2017-09-09 15:00:00
2017S001061,0,0,0,3,2.205805,41.417384000000006,2017-02-08 17:00:00
2017S007904,1,0,1,4,2.1981900000000003,41.411891,2017-09-24 09:00:00
2017S010082,0,0,0,1,2.197063,41.411044,2017-12-02 13:00:00
2017S004702,2,0,2,2,2.19735,41.411031,2017-05-28 08:00:00
2017S008946,1,0,1,1,2.201731,41.409239,2017-10-29 17:00:00
2017S006672,1,0,1,2,2.193034,41.407835,2017-08-01 21:00:00
2017S005878,0,0,0,2,2.201634,41.414446999999996,2017-07-05 16:00:00
2017S009684,1,0,1,2,2.206224,41.416095,2017-11-21 22:00:00
2017S001113,1,0,1,1,2.194859,41.409289,2017-02-10 09:00:00
2017S003816,1,0,1,2,2.2028939999999997,41.413519,2017-04-29 14:00:00
2017S005995,1,0,1,1,2.205048,41.414983,2017-07-10 14:00:00
2017S000591,1,0,1,1,2.201634,41.414446999999996,2017-01-22 19:00:00
2017S001862,1,0,1,2,2.2030380000000003,41.40997,2017-03-07 09:00:00
2017S003392,1,0,1,2,2.20736,41.410118,2017-04-14 11:00:00
2017S007682,1,0,1,2,2.198352,41.406690000000005,2017-09-16 22:00:00
2017S004402,1,0,1,2,2.193796,41.406675,2017-05-18 10:00:00
2017S001437,1,0,1,1,2.208511,41.407540000000004,2017-02-21 08:00:00
2017S009997,2,0,2,2,2.20452,41.407344,2017-11-30 19:00:00
2017S004372,1,0,1,1,2.210245,41.404509000000004,2017-05-17 09:00:00
2017S004224,0,0,0,2,2.209333,41.403729,2017-05-12 12:00:00
2017S003904,1,0,1,1,2.209629,41.40958,2017-05-03 07:00:00
2017S005550,3,0,3,4,2.205233,41.401617,2017-06-25 20:00:00
2017S003533,1,0,1,1,2.196057,41.404944,2017-04-20 17:00:00
2017S007185,0,0,0,1,2.202391,41.406085,2017-08-26 09:00:00
2017S003838,2,0,2,3,2.200855,41.401938,2017-04-30 11:00:00
2017S008465,2,0,2,2,2.204611,41.393827,2017-10-14 18:00:00
2017S003629,5,0,5,5,2.2018,41.392004,2017-04-23 15:00:00
2017S004526,1,0,1,2,2.205981,41.395376,2017-05-22 09:00:00
2017S002436,1,0,1,2,2.203103,41.393091999999996,2017-03-27 08:00:00
2017S003016,1,0,1,2,2.1868689999999997,41.393128999999995,2017-04-01 18:00:00
2017S003290,2,0,2,2,2.190224,41.392272999999996,2017-04-10 15:00:00
2017S004342,1,0,1,2,2.1858049999999998,41.393971,2017-05-16 12:00:00
2017S006013,1,0,1,1,2.187949,41.393957,2017-07-11 09:00:00
2017S000456,1,0,1,2,2.1897349999999998,41.396734,2017-01-17 14:00:00
2017S007632,1,0,1,2,2.1869509999999996,41.399893,2017-09-15 09:00:00
2017S005194,1,0,1,2,2.1925470000000002,41.393928,2017-06-13 21:00:00
2017S009929,1,0,1,2,2.1868689999999997,41.393128999999995,2017-11-28 18:00:00
2017S010245,1,0,1,2,2.1880330000000003,41.402572,2017-12-11 10:00:00
2017S005770,1,0,1,2,2.2096400000000003,41.400669,2017-07-03 16:00:00
2017S007662,0,0,0,1,2.213772,41.403526,2017-09-15 23:00:00
2017S010115,1,0,1,2,2.1903669999999997,41.404181,2017-12-04 14:00:00
2017S008757,1,0,1,2,2.21088,41.400104,2017-10-22 15:00:00
2017S008323,2,0,2,2,2.215322,41.404969,2017-07-15 13:00:00
